date,inflation
2010-01-01,0.84
2010-02-01,-0.08
2010-03-01,-0.14
2010-04-01,0.15
2010-05-01,0.29
2010-06-01,0.97
2010-07-01,1.57
2010-08-01,0.76
2010-09-01,0.44
2010-10-01,0.06
2010-11-01,0.6
2010-12-01,0.92
2011-01-01,0.89
2011-02-01,0.13
2011-03-01,-0.32
2011-04-01,-0.31
2011-05-01,0.12
2011-06-01,0.55
2011-07-01,0.67
2011-08-01,0.93
2011-09-01,0.27
2011-10-01,-0.12
2011-11-01,0.34
2011-12-01,0.57
2012-01-01,0.76
2012-02-01,0.05
2012-03-01,0.07
2012-04-01,0.21
2012-05-01,0.07
2012-06-01,0.62
2012-07-01,0.7
2012-08-01,0.95
2012-09-01,0.01
2012-10-01,0.16
2012-11-01,0.07
2012-12-01,0.54
2013-01-01,1.03
2013-02-01,0.75
2013-03-01,0.63
2013-04-01,-0.1
2013-05-01,-0.03
2013-06-01,1.03
2013-07-01,3.29
2013-08-01,1.12
2013-09-01,-0.35
2013-10-01,0.09
2013-11-01,0.12
2013-12-01,0.55
2014-01-01,1.07
2014-02-01,0.26
2014-03-01,0.08
2014-04-01,-0.02
2014-05-01,0.16
2014-06-01,0.43
2014-07-01,0.93
2014-08-01,0.47
2014-09-01,0.27
2014-10-01,0.47
2014-11-01,1.5
2014-12-01,2.46
2015-01-01,-0.24
2015-02-01,-0.36
2015-03-01,0.17
2015-04-01,0.36
2015-05-01,0.5
2015-06-01,0.54
2015-07-01,0.93
2015-08-01,0.39
2015-09-01,-0.05
2015-10-01,-0.08
2015-11-01,0.21
2015-12-01,0.96
2016-01-01,0.51
2016-02-01,-0.09
2016-03-01,0.19
2016-04-01,-0.45
2016-05-01,0.24
2016-06-01,0.66
2016-07-01,0.69
2016-08-01,-0.02
2016-09-01,0.22
2016-10-01,0.14
2016-11-01,0.47
2016-12-01,0.42
2017-01-01,0.97
2017-02-01,0.23
2017-03-01,-0.02
2017-04-01,0.09
2017-05-01,0.39
2017-06-01,0.69
2017-07-01,0.22
2017-08-01,-0.07
2017-09-01,0.13
2017-10-01,0.01
2017-11-01,0.2
2017-12-01,0.71
2018-01-01,0.62
2018-02-01,0.17
2018-03-01,0.2
2018-04-01,0.1
2018-05-01,0.21
2018-06-01,0.59
2018-07-01,0.28
2018-08-01,-0.05
2018-09-01,-0.18
2018-10-01,0.28
2018-11-01,0.27
2018-12-01,0.62
2019-01-01,0.32
2019-02-01,-0.08
2019-03-01,0.11
2019-04-01,0.44
2019-05-01,0.68
2019-06-01,0.55
2019-07-01,0.31
2019-08-01,0.12
2019-09-01,-0.27
2019-10-01,0.02
2019-11-01,0.14
2019-12-01,0.34
2020-01-01,0.39
2020-02-01,0.28
2020-03-01,0.1
2020-04-01,0.08
2020-05-01,0.07
2020-06-01,0.18
2020-07-01,-0.1
2020-08-01,-0.05
2020-09-01,-0.05
2020-10-01,0.07
2020-11-01,0.28
2020-12-01,0.45
2021-01-01,0.26
2021-02-01,0.1
2021-03-01,0.08
2021-04-01,0.13
2021-05-01,0.32
2021-06-01,-0.16
2021-07-01,0.08
2021-08-01,0.03
2021-09-01,-0.04
2021-10-01,0.12
2021-11-01,0.37
2021-12-01,0.57
2022-01-01,0.56
2022-02-01,-0.02
2022-03-01,0.66
2022-04-01,0.95
2022-05-01,0.4
2022-06-01,0.61
2022-07-01,0.64
2022-08-01,-0.21
2022-09-01,1.17
2022-10-01,-0.11
2022-11-01,0.09
2022-12-01,0.66
2023-01-01,0.34
2023-02-01,0.16
2023-03-01,0.18
2023-04-01,0.33
2023-05-01,0.09
2023-06-01,0.14
2023-07-01,0.21
2023-08-01,-0.02
2023-09-01,0.19
2023-10-01,0.17
2023-11-01,0.38
2023-12-01,0.41
2024-01-01,0.04
2024-02-01,0.37
2024-03-01,0.52
2024-04-01,0.25
2024-05-01,-0.03
2024-06-01,-0.08
2024-07-01,-0.18
2024-08-01,-0.03
2024-09-01,-0.12
2024-10-01,0.08
2024-11-01,0.3
2024-12-01,0.44
2025-01-01,-0.76
2025-02-01,-0.48
2025-03-01,1.65
2025-04-01,1.17
2025-05-01,-0.37
2025-06-01,0.19
2025-07-01,0.3
2025-08-01,-0.08
2025-09-01,0.21
2025-10-01,0.28
2025-11-01,0.17
2025-12-01,0.64
