date,actual,forecast,model,order
2024-01-01,0.04,0.387005636104003,ARIMA,"(3, 0, 2)"
2024-02-01,0.37,0.33824706896733087,ARIMA,"(3, 0, 2)"
2024-03-01,0.52,0.3007876331472495,ARIMA,"(3, 0, 2)"
2024-04-01,0.25,0.30818577108820966,ARIMA,"(3, 0, 2)"
2024-05-01,-0.03,0.3514134681930095,ARIMA,"(3, 0, 2)"
2024-06-01,-0.08,0.3863730788762182,ARIMA,"(3, 0, 2)"
2024-07-01,-0.18,0.3778185158157842,ARIMA,"(3, 0, 2)"
2024-08-01,-0.03,0.33453683244325505,ARIMA,"(3, 0, 2)"
2024-09-01,-0.12,0.300208085947839,ARIMA,"(3, 0, 2)"
2024-10-01,0.08,0.3092850388322225,ARIMA,"(3, 0, 2)"
2024-11-01,0.3,0.35240426005899395,ARIMA,"(3, 0, 2)"
2024-12-01,0.44,0.3860354397785913,ARIMA,"(3, 0, 2)"
2025-01-01,-0.76,0.3764241628226797,ARIMA,"(3, 0, 2)"
2025-02-01,-0.48,0.33346814381396256,ARIMA,"(3, 0, 2)"
2025-03-01,1.65,0.3005291834736286,ARIMA,"(3, 0, 2)"
2025-04-01,1.17,0.3106627691921186,ARIMA,"(3, 0, 2)"
2025-05-01,-0.37,0.3534470186833666,ARIMA,"(3, 0, 2)"
2025-06-01,0.19,0.38569656655900103,ARIMA,"(3, 0, 2)"
2025-07-01,0.3,0.3750517469886644,ARIMA,"(3, 0, 2)"
2025-08-01,-0.08,0.3324473579460303,ARIMA,"(3, 0, 2)"
2025-09-01,0.21,0.300884188021835,ARIMA,"(3, 0, 2)"
2025-10-01,0.28,0.31202918436816657,ARIMA,"(3, 0, 2)"
2025-11-01,0.17,0.35444578903173535,ARIMA,"(3, 0, 2)"
2025-12-01,0.64,0.3853257373070118,ARIMA,"(3, 0, 2)"
